"nkill","iyear","imonth","gname","targtype1_txt","weaptype1_txt","attacktype1_txt","country_txt","time_of_year"
1,1971,10,"Irish Republican Army (IRA)","Utilities","Explosives","Bombing/Explosion","United Kingdom","Autumn"
1,1971,10,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,10,"Other","Military","Explosives","Bombing/Explosion","United Kingdom","Autumn"
1,1971,10,"Ulster Volunteer Force (UVF)","Business","Explosives","Bombing/Explosion","United Kingdom","Autumn"
2,1971,10,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Autumn"
1,1971,10,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,10,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,10,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,10,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,10,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Autumn"
1,1971,10,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Autumn"
2,1971,10,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Autumn"
1,1971,10,"Other","Private Citizens & Property","Firearms","Assassination","Ireland","Autumn"
2,1971,11,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Autumn"
3,1971,11,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
2,1971,11,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Autumn"
1,1971,11,"Irish Republican Extremists","Maritime","Firearms","Assassination","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Military","Firearms","Armed Assault","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Autumn"
2,1971,11,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Autumn"
1,1971,11,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Autumn"
15,1971,12,"Ulster Volunteer Force (UVF)","Business","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","NGO","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Winter"
2,1971,12,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
4,1971,12,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1971,12,"Other","Government (General)","Explosives","Assassination","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1971,12,"Ulster Volunteer Force (UVF)","Business","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1971,12,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1972,1,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1972,1,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Winter"
1,1972,1,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1972,1,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Winter"
1,1972,1,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Winter"
26,1972,1,"Other","Airports & Aircraft","Explosives","Bombing/Explosion","Czechoslovakia","Winter"
1,1972,1,"Irish Republican Army (IRA)","Police","Explosives","Bombing/Explosion","United Kingdom","Winter"
2,1972,1,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Winter"
1,1972,1,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Winter"
1,1972,1,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Winter"
7,1972,2,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1972,2,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1972,2,"Other","Maritime","Explosives","Bombing/Explosion","West Germany (FRG)","Winter"
1,1972,2,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Winter"
2,1972,2,"Irish Republican Extremists","Government (General)","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1972,2,"Other","Private Citizens & Property","Firearms","Assassination","United Kingdom","Winter"
2,1972,2,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1972,2,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1972,2,"Irish Republican Army (IRA)","Military","Firearms","Hostage Taking (Kidnapping)","United Kingdom","Winter"
1,1972,2,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1972,2,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
4,1972,2,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Explosives","Bombing/Explosion","United Kingdom","Winter"
7,1972,2,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Winter"
7,1972,2,"Other","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Winter"
1,1972,2,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Winter"
1,1972,2,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Winter"
1,1972,3,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Spring"
2,1972,3,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,3,"Other","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,3,"Other","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,3,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Spring"
2,1972,3,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,3,"Irish Republican Extremists","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Spring"
7,1972,3,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Military","Incendiary","Armed Assault","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Firearms","Armed Assault","United Kingdom","Spring"
1,1972,3,"Ulster Freedom Fighters (UFF)","Terrorists/Non-State Militia","Firearms","Assassination","United Kingdom","Spring"
2,1972,3,"Irish Republican Army (IRA)","Police","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,3,"Irish Republican Army (IRA)","Military","Firearms","Armed Assault","United Kingdom","Spring"
1,1972,4,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,4,"Other","Military","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,4,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,4,"Other","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,4,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,4,"Other","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,4,"Other","Military","Firearms","Armed Assault","United Kingdom","Spring"
1,1972,4,"Irish Republican Army (IRA)","Military","Firearms","Hostage Taking (Kidnapping)","United Kingdom","Spring"
1,1972,4,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,4,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,4,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,4,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,5,"Protestant extremists","Private Citizens & Property","Melee","Assassination","United Kingdom","Spring"
4,1972,5,"Other","Airports & Aircraft","Firearms","Hijacking","Austria","Spring"
1,1972,5,"Other","Military","Explosives","Bombing/Explosion","West Germany (FRG)","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Protestant extremists","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,5,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Other","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
3,1972,5,"Other","Military","Explosives","Bombing/Explosion","West Germany (FRG)","Spring"
1,1972,5,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
8,1972,5,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,5,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Spring"
1,1972,5,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Spring"
2,1972,6,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,6,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Police","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
3,1972,6,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
3,1972,6,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,6,"Ulster Freedom Fighters (UFF)","Terrorists/Non-State Militia","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,6,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
2,1972,7,"Irish Republican Extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
2,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
2,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
3,1972,7,"Irish Republican Extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
2,1972,7,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
2,1972,7,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Police","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Armed Assault","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Business","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
6,1972,7,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Firearms","Assassination","United Kingdom","Summer"
3,1972,7,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Summer"
2,1972,7,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Hostage Taking (Kidnapping)","United Kingdom","Summer"
1,1972,7,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Other","Terrorists/Non-State Militia","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
2,1972,7,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,7,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
9,1972,7,"Irish Republican Army (IRA)","Private Citizens & Property","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Melee","Assassination","United Kingdom","Summer"
1,1972,8,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
2,1972,8,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Protestant extremists","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Protestant extremists","Private Citizens & Property","Melee","Assassination","United Kingdom","Summer"
2,1972,8,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Ulster Volunteer Force (UVF)","Business","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Ulster Freedom Fighters (UFF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Ulster Volunteer Force (UVF)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","United Kingdom","Summer"
1,1972,8,"Irish Republican Army (IRA)","Military","Firearms","Armed Assault","United Kingdom","Summer"
